timestamp,,conc_mg_l,
12/2/2009 12:05,-,1.6,1
1/6/2010 10:46,-,2.57,1
2/3/2010 12:05,-,2.15,1
2/16/2010 11:58,-,2.52,1
2/24/2010 20:27,-,2.19,1
2/25/2010 16:46,-,2.19,1
2/26/2010 10:22,-,1.98,1
2/27/2010 2:40,-,1.88,1
3/10/2010 10:59,-,1.85,1
3/24/2010 8:26,-,1.94,1
4/7/2010 8:50,-,2.12,1
4/13/2010 9:16,-,1.6,1
4/20/2010 9:26,-,1.71,1
4/27/2010 9:27,-,1.83,1
5/5/2010 8:50,-,1.64,1
5/10/2010 10:45,-,1.42,1
5/19/2010 8:53,-,1.65,1
6/3/2010 8:04,-,1.39,1
6/9/2010 8:53,-,1.29,1
6/16/2010 8:17,-,1.56,1
6/23/2010 9:29,-,1.03,1
6/30/2010 8:00,-,0.96,1
7/7/2010 8:20,-,0.95,1
7/14/2010 8:16,-,1.26,1
7/21/2010 8:20,-,1.25,1
7/29/2010 8:02,-,0.81,1
8/4/2010 8:20,-,0.68,1
8/11/2010 8:15,-,0.64,1
8/18/2010 9:47,-,1.18,1
8/26/2010 8:30,-,0.81,1
8/30/2010 8:45,-,0.46,1
9/8/2010 9:23,-,0.53,1
9/15/2010 8:55,-,0.58,1
9/22/2010 8:50,-,0.45,1
9/29/2010 8:42,-,0.6,1
10/1/2010 4:18,-,1.47,1
10/2/2010 10:39,-,2.62,1
10/3/2010 2:22,-,2.12,1
10/3/2010 17:56,-,1.4,1
10/6/2010 9:40,-,2.53,1
10/13/2010 9:25,-,1.51,1
10/20/2010 8:47,-,1.65,1
10/27/2010 9:30,-,1.04,1
11/3/2010 9:28,-,0.86,1
11/9/2010 11:00,-,1.07,1
11/16/2010 11:25,-,0.96,1
11/22/2010 10:45,-,1.26,1
11/30/2010 11:11,-,1.57,1
12/8/2010 11:40,-,2.2,1
12/20/2010 11:05,-,2.61,1
1/5/2011 11:29,-,2.1,1
1/19/2011 10:52,-,1.88,1
2/2/2011 10:47,-,1.74,1
2/16/2011 11:20,-,2.14,1
3/2/2011 12:27,-,2.45,1
3/7/2011 10:45,-,2.92,1
3/8/2011 11:30,-,2.97,1
3/9/2011 10:15,-,2.57,1
3/10/2011 13:00,-,2.29,1
3/11/2011 12:15,-,3.37,1
3/12/2011 14:45,-,2.78,1
3/13/2011 8:00,-,2.41,1
3/14/2011 9:30,-,2.46,1
3/16/2011 8:32,-,2.31,1
3/29/2011 9:18,-,7.34,1
4/6/2011 9:15,-,1.79,1
4/12/2011 9:09,-,1.47,1
4/18/2011 9:15,-,2.96,1
4/19/2011 10:00,-,2.36,1
4/21/2011 9:15,-,1.79,1
4/25/2011 9:39,-,1.76,1
5/3/2011 9:10,-,1.99,1
5/11/2011 9:06,-,1.66,1
5/24/2011 9:30,-,1.47,1
6/1/2011 9:29,-,1.56,1
6/7/2011 9:35,-,1.34,1
6/15/2011 10:05,-,1.52,1
6/22/2011 9:00,-,1.68,1
6/29/2011 9:28,-,1.56,1
7/6/2011 8:40,-,1.47,1
7/12/2011 8:00,-,1.48,1
7/20/2011 9:00,-,1.25,1
7/26/2011 10:05,-,1.26,1
8/2/2011 8:50,-,1.12,1
8/10/2011 9:20,-,1.09,1
8/16/2011 9:50,-,1.05,1
8/24/2011 8:41,-,1.18,1
8/31/2011 9:30,-,1.15,1
9/7/2011 7:56,-,1.28,1
9/8/2011 6:53,-,2.97,1
9/9/2011 14:26,-,2.74,1
9/10/2011 9:33,-,2.68,1
9/11/2011 0:12,-,2.24,1
9/11/2011 8:11,-,2.5,1
9/20/2011 9:03,-,2.41,1
9/27/2011 9:10,-,2.24,1
10/5/2011 8:38,-,2.17,1
10/12/2011 9:00,-,1.94,1
10/18/2011 9:50,-,1.72,1
10/25/2011 9:10,-,1.64,1
11/3/2011 9:41,-,1.66,1
11/9/2011 11:17,-,1.36,1
11/16/2011 11:25,-,1.48,1
11/22/2011 12:00,-,1.38,1
11/23/2011 0:12,-,2.44,1
11/24/2011 2:35,-,2.21,1
11/24/2011 9:21,-,2.31,1
11/24/2011 14:52,-,2.1,1
11/24/2011 20:07,-,2.09,1
11/25/2011 1:56,-,2.05,1
11/29/2011 10:35,-,1.98,1
12/7/2011 10:47,-,1.72,1
12/20/2011 11:10,-,2.14,1
1/4/2012 11:40,-,1.84,1
1/13/2012 9:38,-,1.9,1
1/14/2012 5:12,-,2.18,1
1/14/2012 17:33,-,1.67,1
1/15/2012 16:57,-,1.89,1
1/16/2012 23:07,-,1.88,1
1/18/2012 11:22,-,1.8,1
2/1/2012 10:36,-,1.88,1
2/15/2012 10:41,-,1.85,1
2/28/2012 11:15,-,1.85,1
3/7/2012 10:55,-,1.63,1
3/20/2012 9:40,-,4.16,1
4/4/2012 7:44,-,1.34,1
4/10/2012 9:00,-,1.24,1
4/18/2012 8:56,-,1.17,1
4/26/2012 8:37,-,1.47,1
5/2/2012 9:15,-,1.19,1
5/8/2012 9:00,-,1.08,1
5/15/2012 9:10,-,1.48,1
5/29/2012 10:10,-,1.6,1
6/6/2012 8:54,-,1.95,1
6/13/2012 9:40,-,1.64,1
6/20/2012 8:28,-,1.41,1
6/26/2012 9:45,-,1.25,1
7/3/2012 11:25,-,0.93,1
7/11/2012 9:15,-,1.28,1
7/17/2012 9:00,-,1.22,1
7/25/2012 9:00,-,1.67,1
7/31/2012 9:00,-,1.16,1
8/8/2012 8:14,-,0.7,1
8/15/2012 9:45,-,1.06,1
8/21/2012 12:00,-,1.04,1
8/29/2012 9:25,-,1.08,1
9/5/2012 8:30,-,1.1,1
9/13/2012 9:15,-,1.06,1
9/18/2012 9:55,-,0.99,1
9/25/2012 9:45,-,1.86,1
10/3/2012 10:00,-,1.36,1
10/11/2012 9:15,-,1.68,1
10/16/2012 8:36,-,1.35,1
10/23/2012 8:45,-,1.63,1
10/31/2012 9:50,-,3.28,1
11/1/2012 8:20,-,2.81,1
11/2/2012 8:50,-,2.7,1
11/3/2012 9:40,-,2.6,1
11/4/2012 10:50,-,2.45,1
11/7/2012 11:18,-,2.55,1
11/14/2012 11:35,-,2.58,1
11/19/2012 10:50,-,2.04,1
11/27/2012 10:39,-,1.94,1
12/5/2012 10:55,-,1.73,1
12/17/2012 11:00,-,1.78,1
12/22/2012 23:48,-,1.92,1
12/27/2012 3:59,-,1.8,1
12/28/2012 8:00,-,1.85,1
1/9/2013 11:02,-,1.7,1
